Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,taux_absence,heures_moy_par_jour,total_heures_travaillees
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,16,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7.0,2,5,0,1,3,3,3.0,4.0,4.0,9.2,6.71,1589.13
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,17,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3.0,3,3,1,0,2,3,4.0,3.0,4.0,13.03,6.62,1502.52
37,No,Non-Travel,Research & Development,1,3,Medical,18,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2,3,3,1.0,4.0,3.0,5.75,11.01,2709.52
35,No,Travel_Rarely,Sales,7,4,Life Sciences,19,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2,2,3,2.0,2.0,2.0,11.11,6.96,1614.78
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,20,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7,3,3,1.0,1.0,3.0,11.49,9.29,2146.81
26,No,Travel_Frequently,Research & Development,1,4,Other,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4,3,3,3.0,2.0,1.0,11.11,7.59,1761.06
50,No,Travel_Rarely,Sales,8,4,Life Sciences,22,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2,4,1.0,2.0,2.0,10.73,6.01,1400.01
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,23,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3,3,3,3.0,3.0,2.0,11.11,8.4,1949.29
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,24,Male,1,Manufacturing Director,Married,89260,1.0,14,0,10.0,4,20,11,6,1,3,2.0,3.0,3.0,7.28,6.81,1647.3
29,No,Travel_Frequently,Research & Development,16,4,Medical,25,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9,3,3,2.0,4.0,2.0,11.49,7.09,1638.52
55,No,Travel_Rarely,Research & Development,1,4,Other,26,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8,3,3,2.0,4.0,3.0,7.66,9.36,2256.24
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,27,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3,3,4,1.0,1.0,3.0,8.43,10.98,2623.53
37,No,Travel_Rarely,Sales,5,1,Marketing,28,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7,3,3,4.0,4.0,3.0,9.58,7.6,1794.65
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,29,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2,3,4.0,3.0,1.0,6.9,10.98,2667.55
38,No,Travel_Rarely,Sales,2,3,Marketing,30,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2,3,4.0,4.0,3.0,11.88,6.83,1571.19
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,31,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2,3,1.0,2.0,3.0,8.81,10.11,2406.04
28,No,Travel_Rarely,Research & Development,7,3,Other,32,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2,2,3,4.0,4.0,3.0,7.28,6.71,1623.74
49,No,Travel_Frequently,Research & Development,1,1,Medical,33,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2,3,3,3.0,1.0,3.0,10.34,10.52,2461.26
36,No,Travel_Rarely,Sales,5,3,Technical Degree,34,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7,3,3,3.0,2.0,3.0,6.9,6.18,1502.44
31,No,Travel_Frequently,Research & Development,9,4,Medical,35,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2,3,3,4.0,2.0,2.0,8.05,6.59,1580.73
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,36,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4,3,3,4.0,4.0,3.0,11.11,10.27,2383.16
37,No,Travel_Frequently,Sales,9,1,Marketing,37,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2,3,3,2.0,4.0,2.0,7.28,9.98,2415.82
42,No,Travel_Frequently,Sales,2,2,Marketing,38,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8,3,3,3.0,2.0,4.0,11.88,5.98,1375.3
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,39,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0,2,3,3.0,3.0,3.0,13.03,6.78,1538.14
35,No,Travel_Rarely,Sales,20,2,Life Sciences,40,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9,2,3,3.0,2.0,2.0,8.43,7.69,1837.95
36,No,Travel_Frequently,Research & Development,8,3,Other,41,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0,2,3,3.0,3.0,3.0,6.51,7.2,1757.95
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,42,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2,3,4.0,2.0,3.0,9.96,7.59,1784.77
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,43,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4,3,3,4.0,2.0,3.0,7.28,6.95,1682.54
18,No,Travel_Rarely,Sales,7,3,Life Sciences,44,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0,3,3,4.0,3.0,3.0,8.05,7.01,1682.13
28,No,Travel_Rarely,Research & Development,9,3,Medical,45,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7,2,4,2.0,1.0,3.0,6.51,7.2,1757.18
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,46,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7,3,3,2.0,4.0,2.0,8.05,7.17,1721.49
39,No,Travel_Rarely,Sales,5,4,Marketing,47,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7,3,4,3.0,4.0,2.0,9.96,7.64,1794.65
36,No,Non-Travel,Research & Development,5,4,Life Sciences,48,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8,3,4,2.0,2.0,3.0,9.2,7.83,1856.37
32,No,Travel_Rarely,Sales,2,3,Marketing,49,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8,3,4,4.0,3.0,2.0,13.03,6.97,1583.27
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,50,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1,2,3,1.0,2.0,3.0,12.64,6.91,1574.66
58,No,Non-Travel,Research & Development,2,3,Life Sciences,51,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2,3,4.0,3.0,3.0,7.28,10.9,2636.7
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,52,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3,2,3,3.0,4.0,3.0,9.2,9.13,2162.78
31,No,Travel_Rarely,Sales,7,4,Marketing,53,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0,3,4,1.0,1.0,3.0,8.43,6.83,1632.72
45,No,Travel_Frequently,Research & Development,3,1,Medical,54,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11,3,3,1.0,1.0,3.0,9.58,7.32,1726.59
31,No,Travel_Rarely,Sales,16,4,Marketing,55,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2,3,3,3.0,4.0,1.0,6.51,8.61,2101.03
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,56,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8,3,3,4.0,2.0,3.0,9.2,6.78,1608.01
39,No,Travel_Rarely,Sales,1,4,Life Sciences,57,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10,3,4,3.0,1.0,3.0,6.13,10.99,2691.59
43,No,Travel_Frequently,Research & Development,7,4,Medical,58,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7,3,3,3.0,4.0,3.0,13.03,7.69,1744.85
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,59,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7,3,4,3.0,3.0,3.0,6.9,9.95,2417.57
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,60,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7,3,3,3.0,2.0,2.0,8.43,7.91,1889.42
27,No,Travel_Rarely,Research & Development,15,4,Medical,61,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2,3,4,3.0,2.0,2.0,6.51,10.67,2604.07
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,62,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9,4,3,3.0,2.0,3.0,8.43,10.5,2508.58
27,No,Travel_Rarely,Research & Development,13,2,Medical,63,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4,4,3,4.0,3.0,3.0,11.49,10.07,2326.0
31,No,Travel_Rarely,Sales,24,3,Life Sciences,64,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7,4,3,4.0,4.0,3.0,6.9,6.61,1605.5
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,65,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7,3,3,1.0,4.0,2.0,9.2,7.5,1777.01
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,66,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2,2,3,1.0,4.0,2.0,5.36,10.73,2649.63
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,67,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9,3,3,4.0,4.0,3.0,11.11,6.18,1434.88
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,68,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9,2,3,3.0,3.0,3.0,13.03,6.61,1500.31
39,No,Travel_Frequently,Research & Development,19,4,Medical,69,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3,3,3,3.0,4.0,3.0,12.64,6.08,1385.38
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,70,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0,3,3,4.0,3.0,2.0,5.75,9.97,2453.05
33,No,Travel_Frequently,Sales,4,2,Life Sciences,71,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1,3,3,2.0,4.0,2.0,7.28,7.42,1795.99
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,72,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1,4,4,4.0,3.0,3.0,6.9,6.49,1578.0
43,No,Travel_Frequently,Research & Development,14,3,Medical,73,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0,3,3,3.0,3.0,4.0,9.96,6.3,1480.38
27,No,Non-Travel,Research & Development,2,3,Life Sciences,74,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4,3,3,3.0,2.0,3.0,11.49,9.32,2152.22
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,75,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3,3,3,4.0,3.0,2.0,11.11,6.1,1414.7
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,76,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0,3,4,3.0,1.0,2.0,8.81,7.22,1717.72
45,No,Travel_Rarely,Sales,3,1,Marketing,77,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8,3,3,4.0,4.0,3.0,7.28,7.1,1718.22
40,No,Travel_Rarely,Research & Development,2,4,Other,78,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2,3,3,2.0,4.0,2.0,11.49,9.91,2290.16
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,79,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7,3,3,2.0,1.0,2.0,11.88,10.48,2409.89
29,No,Travel_Rarely,Human Resources,8,3,Medical,80,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2,3,4,2.0,4.0,3.0,8.43,6.91,1650.76
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,81,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2,3,4.0,3.0,3.0,11.11,7.59,1760.67
27,No,Travel_Rarely,Research & Development,11,2,Medical,82,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7,2,3,2.0,2.0,3.0,6.51,6.08,1483.45
37,No,Travel_Rarely,Sales,1,4,Life Sciences,83,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4,3,3,4.0,4.0,2.0,9.58,6.0,1416.26
38,No,Travel_Rarely,Research & Development,28,4,Medical,84,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9,3,3,3.0,4.0,3.0,7.28,8.98,2173.92
31,No,Travel_Rarely,Research & Development,6,3,Medical,85,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10,3,3,3.0,4.0,3.0,8.81,10.43,2481.43
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,86,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7,3,3,4.0,2.0,3.0,6.51,8.39,2046.56
35,No,Travel_Rarely,Sales,16,2,Technical Degree,87,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13,4,3,3.0,2.0,3.0,10.73,7.91,1843.5
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,88,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2,4,3.0,4.0,2.0,9.2,7.11,1683.95
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,89,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2,3,3,4.0,2.0,3.0,8.43,9.69,2315.58
47,No,Travel_Frequently,Sales,1,3,Medical,90,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0,4,3,2.0,3.0,3.0,8.43,7.77,1857.11
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,91,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0,1,4,1.0,4.0,3.0,9.2,6.28,1489.37
29,No,Non-Travel,Sales,22,4,Marketing,92,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2,2,4,4.0,3.0,2.0,10.73,6.31,1469.32
42,No,Travel_Rarely,Sales,7,4,Medical,93,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2,3,3.0,3.0,3.0,12.64,8.83,2013.6
32,No,Travel_Rarely,Research & Development,2,3,Medical,94,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7,3,3,3.0,2.0,3.0,11.49,7.72,1783.87
48,No,Travel_Rarely,Sales,13,4,Medical,95,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0,2,3,1.0,3.0,1.0,10.73,7.32,1704.97
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,96,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7,3,3,3.0,1.0,3.0,5.36,10.8,2667.17
30,No,Non-Travel,Sales,25,4,Other,97,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2,3,4,4.0,3.0,4.0,6.13,10.4,2548.33
26,No,Travel_Rarely,Sales,28,3,Medical,98,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7,3,3,3.0,3.0,3.0,6.9,5.99,1456.62
42,No,Travel_Rarely,Sales,2,2,Medical,99,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0,3,3,1.0,4.0,3.0,8.43,6.11,1461.03
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,100,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2,2,3,1.0,2.0,3.0,6.51,8.13,1984.59
36,No,Non-Travel,Human Resources,28,3,Human Resources,101,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0,1,4,4.0,4.0,3.0,11.11,7.31,1695.03
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,102,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12,3,3,1.0,4.0,3.0,8.81,7.11,1691.0
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,103,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2,1,3,4.0,3.0,3.0,9.96,6.33,1487.02
40,No,Travel_Rarely,Research & Development,8,3,Other,104,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7,3,3,4.0,3.0,3.0,10.73,8.13,1893.94
21,No,Non-Travel,Research & Development,1,5,Life Sciences,105,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2,1,3,1.0,4.0,2.0,12.26,7.99,1828.89
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,106,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0,1,4,4.0,3.0,3.0,11.49,10.51,2427.6
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,107,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3,4,3,3.0,1.0,3.0,11.49,7.99,1846.45
46,No,Non-Travel,Sales,2,4,Marketing,108,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0,3,3,3.0,3.0,4.0,12.64,6.1,1391.63
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,109,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7,4,3,1.0,2.0,3.0,10.73,7.59,1767.98
50,No,Travel_Rarely,Research & Development,9,3,Medical,110,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3,3,3,4.0,4.0,3.0,11.88,6.89,1584.77
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,111,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0,2,4,3.0,3.0,3.0,10.34,9.3,2175.26
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,112,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2,3,4,3.0,2.0,3.0,5.75,10.81,2658.3
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,113,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0,11.88,6.0,1378.9
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,114,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2,4,3,4.0,4.0,3.0,6.13,7.79,1908.21
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,115,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0,3,3,3.0,2.0,3.0,9.58,7.72,1821.38
27,No,Travel_Rarely,Sales,2,3,Life Sciences,116,Male,1,Sales Executive,Divorced,23670,2.0,12,1,5.0,2,5,0,4,3,3,4.0,2.0,3.0,10.34,6.19,1448.33
28,No,Travel_Rarely,Research & Development,2,2,Medical,117,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7,2,3,2.0,4.0,3.0,11.11,7.12,1651.98
49,No,Travel_Rarely,Sales,2,3,Technical Degree,118,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0,3,3,2.0,3.0,3.0,8.05,7.83,1878.05
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,119,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7,3,4,3.0,4.0,2.0,12.64,7.62,1737.22
36,No,Travel_Rarely,Sales,15,2,Life Sciences,120,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2,3,3,4.0,3.0,3.0,10.34,6.0,1404.58
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,121,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4,3,4,1.0,4.0,2.0,9.96,9.11,2141.58
55,No,Travel_Rarely,Sales,26,3,Marketing,122,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2,3,3,3.0,4.0,3.0,9.58,8.68,2049.46
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,123,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3,3,3,4.0,3.0,4.0,11.88,9.99,2298.42
30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,124,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0,3,3,3.0,2.0,3.0,11.49,6.9,1594.02
26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,125,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4,3,3,3.0,3.0,3.0,8.05,7.0,1679.85
22,No,Travel_Rarely,Research & Development,16,5,Other,126,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2,2,3,1.0,2.0,3.0,11.49,6.29,1452.12
36,No,Travel_Rarely,Research & Development,1,3,Medical,127,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0,3,3,2.0,3.0,3.0,9.58,6.37,1502.41
30,Yes,Travel_Frequently,Sales,3,2,Marketing,128,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0,2,3,3.0,4.0,3.0,8.05,8.19,1966.0
37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,129,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17,3,3,4.0,1.0,2.0,8.05,6.45,1548.5
40,No,Travel_Rarely,Research & Development,6,2,Medical,130,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8.0,3,5,1,3,2,3,4.0,2.0,3.0,11.88,6.68,1537.09
42,No,Travel_Rarely,Research & Development,2,3,Medical,131,Female,4,Manager,Divorced,110310,3.0,12,1,8.0,2,5,1,2,2,3,2.0,1.0,3.0,9.96,7.48,1758.42
37,No,Travel_Rarely,Sales,9,1,Marketing,132,Male,3,Sales Executive,Single,44400,2.0,11,1,18.0,3,1,0,1,2,3,3.0,2.0,2.0,6.13,9.92,2430.43
43,No,Travel_Rarely,Sales,10,2,Life Sciences,133,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25.0,2,25,3,9,3,3,1.0,2.0,3.0,9.96,7.42,1742.68
40,No,Travel_Rarely,Sales,6,2,Life Sciences,134,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20.0,2,1,0,0,2,3,2.0,3.0,3.0,8.81,7.5,1783.89
54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,135,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24.0,2,4,1,2,2,4,1.0,1.0,2.0,13.03,6.0,1361.77
34,No,Non-Travel,Research & Development,28,3,Medical,136,Male,1,Laboratory Technician,Married,56770,9.0,20,1,6.0,3,3,1,2,3,4,3.0,3.0,3.0,10.34,6.86,1605.13
31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,137,Male,3,Sales Executive,Married,21870,1.0,15,1,13.0,2,13,3,12,2,3,2.0,1.0,1.0,11.11,6.13,1422.6
43,No,Travel_Frequently,Sales,14,3,Life Sciences,138,Female,1,Manufacturing Director,Married,37480,7.0,14,2,10.0,3,3,1,2,2,3,4.0,4.0,3.0,13.03,7.67,1742.18
